ensGene	geneSymb	ESC.RPKM	MES.RPKM	CP.RPKM	CM.RPKM
ENSMUSG00000065782	SNORD30.1	43.860058	17.074669	9.619576	5.238641
ENSMUSG00000067034	Zfp960	2.3478155	0.80547285	0.7363994	0.9161013
ENSMUSG00000068601	Gm10244	1.7447046	0.18717994	0.29837754	0.2329035
ENSMUSG00000068739	Sars	99.65072	40.486843	39.500774	56.34613
ENSMUSG00000069300	Hist1h2bj	1.5583073	0.3721798	0.12944289	0
ENSMUSG00000070284	Gmppb	15.7058735	9.796041	7.301617	7.607603
ENSMUSG00000071451	Psmg4	49.859253	30.12238	29.256079	33.969017
ENSMUSG00000071657	Bscl2	24.17316	13.759441	15.041712	16.473757
ENSMUSG00000072244	Trim6	34.520706	6.4503517	8.626407	5.7863955
ENSMUSG00000072437	Nanos1	2.5012338	0.85072255	0.32232168	0.3336682
ENSMUSG00000074578	1500012F01Rik	34.12492	17.245144	15.822426	18.572803
ENSMUSG00000074656	Eif2s2	21.724669	7.8159733	5.8004	4.0836196
ENSMUSG00000074830	Zfp640	2.6084619	0.02007347	0	0
ENSMUSG00000075706	Gpx4	36.214695	9.577455	9.160268	12.961531
ENSMUSG00000077219	Snord43	3.5257573	1.2608649	1.2059425	0.35299435
ENSMUSG00000078495	Gm13157	10.033727	3.4559755	2.7406235	1.4607067
ENSMUSG00000078498	Gm13147	1.1988913	0	0	0
ENSMUSG00000079008	Gm14124	5.2425246	0.3689847	0.061376	0.044913795
ENSMUSG00000080610	Snord110	6.4415216	2.1360533	1.1350048	1.162805
ENSMUSG00000085283	9530027J09Rik	1.6441089	0.47977418	0.36964977	0.08394911
ENSMUSG00000085642	3110053B16Rik	1.270212	0.5327984	0.65150124	0.4956377
ENSMUSG00000086276	2500002B13Rik	3.7686386	0.5534416	1.206654	1.3161795
ENSMUSG00000086290	Snhg12	21.99921	9.261555	6.4585543	8.491521
ENSMUSG00000086342	Gm12932	2.5048263	0.96313804	0.59752506	0.291505
ENSMUSG00000014846	Tppp3	11.248904	3.2767203	3.1339889	8.089632
ENSMUSG00000000275	Trim25	33.76953	7.550639	12.195403	21.729826
ENSMUSG00000000276	Dgke	4.8996563	0.89780515	1.1772164	2.3417664
ENSMUSG00000000884	Gnb1l	2.562246	1.9303354	1.7722455	1.9439185
ENSMUSG00000003644	Rps6ka1	45.08339	31.15685	28.525309	27.750282
ENSMUSG00000004996	Mri1	14.591455	7.657799	7.9892125	8.483081
ENSMUSG00000006589	Aprt	230.15823	137.51265	126.59432	128.02382
ENSMUSG00000008129	4930432K21Rik	2.3587518	0.59749746	0.9270528	0.55758876
ENSMUSG00000009731	Kcnd1	2.621046	1.733874	1.5590805	1.8780074
ENSMUSG00000010592	Dazl	2.5551934	0	0.026296532	0.007697322
ENSMUSG00000016664	Pacsin2	31.105913	20.527512	22.0744	25.202408
ENSMUSG00000017801	Mlx	18.298265	8.939485	6.7616463	7.0266433
ENSMUSG00000018239	Zcchc10	16.107523	5.604005	4.4388394	2.866588
ENSMUSG00000018809	Smyd4	5.798123	2.4941182	2.150138	2.9537692
ENSMUSG00000020422	Tns3	33.016224	4.289511	3.7658365	9.307787
ENSMUSG00000020477	Mrps24	60.608234	29.284603	23.83876	24.759706
ENSMUSG00000021245	Mlh3	7.47135	3.9552758	3.42771	2.6705637
ENSMUSG00000021458	2010111I01Rik	3.9029589	1.820165	1.6662147	1.3170787
ENSMUSG00000021466	Ptch1	36.51654	11.803939	9.628782	10.123966
ENSMUSG00000022102	Dok2	6.618212	1.7102194	0.96421593	0.42209697
ENSMUSG00000022272	Myo10	41.09661	10.789621	10.228295	7.3233447
ENSMUSG00000022849	Hspbap1	34.976524	6.578693	3.36634	1.4642729
ENSMUSG00000023094	Msrb2	11.885367	2.9652758	2.4101336	4.5609846
ENSMUSG00000023452	Pisd	13.83723	9.825622	8.887676	8.511847
ENSMUSG00000024521	Pmaip1	6.9811354	2.150292	1.6532553	0.9603733
ENSMUSG00000024570	Rbfa	39.604965	19.959602	18.71452	23.791195
ENSMUSG00000025007	Aldh18a1	31.211782	18.323427	16.270971	14.384764
ENSMUSG00000025499	Hras1	22.902283	16.28174	13.186608	13.168874
ENSMUSG00000026131	Dst	21.856396	8.139439	9.039487	16.526009
ENSMUSG00000026273	Mterfd2	5.794023	5.0003734	4.5793357	4.7093453
ENSMUSG00000026520	Pycr2	98.323654	33.94058	26.329205	19.10822
ENSMUSG00000026819	Slc25a25	6.934771	5.437876	5.052199	5.4420724
ENSMUSG00000028093	Acp6	26.619143	7.029212	5.012015	11.603306
ENSMUSG00000028412	Slc44a1	10.420232	3.4220095	3.8144822	4.119263
ENSMUSG00000028572	Hook1	12.39916	2.5960484	2.9594953	3.283849
ENSMUSG00000028970	Abcb1b	7.223662	1.5311918	0.4341968	0.41198102
ENSMUSG00000028982	Slc25a33	7.653303	3.4167397	2.0664718	2.4406285
ENSMUSG00000029916	Agk	2.670396	1.4985754	1.4543766	1.4293299
ENSMUSG00000030539	Sema4b	18.373722	5.132189	4.0990505	8.173567
ENSMUSG00000030826	Bcat2	33.99167	11.174718	9.689345	10.837368
ENSMUSG00000031402	Mpp1	6.0980654	3.4057155	3.458401	3.4966295
ENSMUSG00000031700	Gpt2	19.238607	5.37969	5.4681363	1.9697123
ENSMUSG00000031758	Cdyl2	16.36226	2.47797	4.338886	4.367476
ENSMUSG00000031897	Psmb10	26.044413	9.045346	7.2716684	13.48134
ENSMUSG00000031950	Gabarapl2	4.110484	1.839507	1.7925752	1.9385083
ENSMUSG00000032333	Stoml1	21.526882	5.2117467	9.819359	9.977781
ENSMUSG00000032387	Rbpms2	92.97426	26.594912	24.013384	24.91909
ENSMUSG00000032411	Tfdp2	20.719393	13.689879	13.676271	12.276581
ENSMUSG00000032436	Cmtm7	22.36286	16.879753	18.13924	18.539877
ENSMUSG00000032462	Pik3cb	12.03751	1.5116484	2.57126	2.2570894
ENSMUSG00000032715	Trib3	24.86037	1.5265661	3.377774	5.076474
ENSMUSG00000035168	Tanc1	15.281744	6.967275	7.853801	11.237185
ENSMUSG00000035202	Lars2	188.46674	117.23696	86.52824	91.67095
ENSMUSG00000035215	Lsm7	1.2093577	0.9324796	0.85755914	0.8283601
ENSMUSG00000035235	Trim13	11.772432	2.472323	4.4653964	2.614154
ENSMUSG00000036281	Snapc4	11.337817	7.225679	5.745948	6.215049
ENSMUSG00000036537	Rnf113a1	8.513473	5.4996653	5.122405	5.2297325
ENSMUSG00000036931	Nfkbid	3.5022416	1.3070859	1.0724972	0.52001214
ENSMUSG00000036983	Tfb1m	13.618348	6.5070353	6.637637	5.444339
ENSMUSG00000037001	Zfp39	2.0761416	1.1989559	1.1825656	1.5275252
ENSMUSG00000037216	Lipt1	2.9131327	1.8011378	1.8797649	2.1189241
ENSMUSG00000037622	Wdtc1	36.576622	15.295132	18.372133	21.544422
ENSMUSG00000037904	Ankrd9	5.800829	2.1246371	2.134671	1.9410222
ENSMUSG00000038028	9630033F20Rik	21.467997	7.382155	6.36299	4.7120056
ENSMUSG00000038301	Snx10	6.178595	2.1886828	2.7345502	2.0309935
ENSMUSG00000038425	Poli	15.158171	5.2017417	7.3599954	7.0764046
ENSMUSG00000038712	Fam63a	9.6848545	2.6470673	4.1170726	5.3221726
ENSMUSG00000039813	Tbc1d2	3.0708122	0.5321226	0.7591507	1.4439673
ENSMUSG00000040282	BC052040	5.996739	4.122683	4.422572	4.1632714
ENSMUSG00000040722	Scamp5	16.893467	4.796188	7.9744935	7.864581
ENSMUSG00000041313	Slc7a1	21.947817	2.3156896	6.412724	10.416405
ENSMUSG00000042492	Tbc1d10b	28.414782	15.509336	17.516148	15.281871
ENSMUSG00000042705	Commd10	24.12907	15.503439	17.32639	16.59269
ENSMUSG00000044986	Tst	16.896729	3.7076242	3.2819018	0.3052924
ENSMUSG00000045100	Slc25a26	6.2354293	4.08356	2.9866989	3.215368
ENSMUSG00000045691	Thtpa	6.899948	3.7181149	4.3963475	5.3810043
ENSMUSG00000051650	B3gnt2	12.663987	2.780131	2.3266518	3.1619709
ENSMUSG00000052102	Gnpda1	15.648453	6.106128	5.446504	3.8864796
ENSMUSG00000052563	D930048N14Rik	8.55864	0.5789168	1.1614187	0.3063608
ENSMUSG00000056228	Cars2	15.444581	8.826397	5.9170413	5.6709414
ENSMUSG00000060149	BC002059	9.332179	3.9842756	3.898528	3.9965868
ENSMUSG00000060314	Zfp941	3.3387697	1.07822	1.2636948	0.6468444
ENSMUSG00000062110	Scfd2	2.0823963	0.92541	0.64768034	1.0201958
ENSMUSG00000062170	Fmr1nb	10.326934	0.89565814	0.39537412	0.20494016
ENSMUSG00000063171	Rps4y2	737.1474	108.506584	118.725105	57.38947
ENSMUSG00000063320	1190007I07Rik	7.8917403	4.3451343	3.067423	4.073012
ENSMUSG00000070889	Pgap1	3.2381148	1.7677218	1.6687638	2.5990026
ENSMUSG00000073452	Zfp97	1.5283982	0.4279521	0.4709878	0.6811137
ENSMUSG00000073771	Btbd19	10.579671	3.7674801	1.5906775	0.68099576
ENSMUSG00000074247	Dda1	23.095596	19.887463	19.677456	18.55118
ENSMUSG00000074867	Zfp808	4.935592	1.5442284	1.5309982	0.7117552
ENSMUSG00000078497	Gm13145	10.810432	0.100242674	0.08389165	0
ENSMUSG00000078877	Gm14295	1.8478192	0.604014	0.60396284	0.37791514
ENSMUSG00000085929	Gm13421	2.8100681	1.4671882	1.5186166	1.237898
ENSMUSG00000086967	4930566F21Rik	10.057834	0.29397213	0.028116692	0.020575263
ENSMUSG00000029413	Naaa	4.6027083	1.0589589	0.9807798	1.341613
ENSMUSG00000000365	Rnf17	10.764687	0.29469165	0.32983044	0.12507026
ENSMUSG00000000486	1-Sep	72.565765	1.316196	2.907375	1.3818187
ENSMUSG00000000958	Slc7a7	57.811123	5.1599565	4.087296	4.82061
ENSMUSG00000001420	Tmem79	7.4036517	1.1031616	1.4981377	0.39671874
ENSMUSG00000002289	Angptl4	9.1214905	1.2793692	0.9838734	2.335397
ENSMUSG00000003849	Nqo1	6.0170646	1.3405924	1.5008665	0.34913027
ENSMUSG00000009585	Apobec3	43.76698	4.821349	6.321642	3.3744874
ENSMUSG00000012396	Nanog	163.82217	4.8446007	0.43375203	0.14611006
ENSMUSG00000018727	Cpsf4l	16.17004	1.2926737	0.8884066	0.1571121
ENSMUSG00000020059	Sycp3	6.0433702	0.58784693	0.74113554	0.299227
ENSMUSG00000022218	Tgm1	24.896023	0.2718768	0.48133963	0.4008194
ENSMUSG00000022683	Pla2g10	6.1424956	0.16096148	0.30790022	0.09012622
ENSMUSG00000023393	Slc17a9	9.2416315	0.54469365	0.48237702	2.1956248
ENSMUSG00000024114	Prss41	2.8101661	0.98354447	1.0628711	0.522996
ENSMUSG00000025359	Pmel	3.206431	0.8725985	0.91881335	0.72279793
ENSMUSG00000025492	Ifitm3	150.54704	10.1751995	15.361011	2.2152255
ENSMUSG00000026564	Dusp27	44.403286	0.23285225	12.725154	22.2404
ENSMUSG00000027702	Lrrc34	6.2628717	0.7380947	0.61985314	0.15749887
ENSMUSG00000027703	Lrriq4	1.6392498	0	0.011588637	0.021200862
ENSMUSG00000028766	Alpl	62.391415	11.653105	5.040738	0.13724154
ENSMUSG00000030587	2200002D01Rik	3.1684253	0.28893477	1.1317148	1.0978034
ENSMUSG00000031297	Slc7a3	54.67927	1.0790658	1.3869613	0.9821154
ENSMUSG00000032494	Tdgf1	143.57788	33.576096	24.901884	0.9502832
ENSMUSG00000033107	Rnf125	4.607602	0.2370224	0.89648706	0.1055684
ENSMUSG00000034947	Tmem106a	1.3535693	0.3497313	0.41812158	0.68034095
